site	CL	Q	A
온양	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
화성	CL4	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL3	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL4	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL4	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
온양	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
온양	CL4	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL4	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL4	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL2	Q1	매우 만족하고 있고, 타 부서 사람들에게도 자기 부서를 추천할 의향이 있다.
온양	CL4	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL3	Q1	현재 만족하고 있고, 이동할 계획도 없다.
온양	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
온양	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
화성	CL4	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL4	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL4	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
화성	CL2	Q1	매우 만족하고 있고, 타 부서 사람들에게도 자기 부서를 추천할 의향이 있다.
화성	CL4	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL4	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL3	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL2	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
온양	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL3	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	회사 내 평균 수준이라고 생각한다.
화성	CL4	Q1	회사 내 평균 수준이라고 생각한다.
온양	CL3	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
온양	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
온양	CL2	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
화성	CL2	Q1	부서 이동 계획은 없지만, 큰 매력을 느끼지 못하고 있다.
온양	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
화성	CL2	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL2	Q1	현재 만족하고 있고, 이동할 계획도 없다.
화성	CL2	Q1	잡포스팅, 이직 등 구체적인 부서 이동 계획이 있다.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL4	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL3	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
온양	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	팀의 위상 : 잦은 타 부서 대응으로 인한 스트레스, 권한은 부족하고 책임은 많은 을의 입장 등.
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL3	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL3	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL3	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL3	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL3	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL4	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
온양	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	부족한 보상 : 양산 업무는 업무량에 비해 인정을 받지 못한다, 본인 성과에 대한 적절한 보상을 받고 있지 않다고 느낌 등
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL4	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
온양	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
온양	CL3	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
온양	CL3	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL3	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
온양	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL3	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL3	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
온양	CL3	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
온양	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
온양	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL4	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
온양	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL4	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL3	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL2	Q2.	조직문화 : 업무량보다 업무시간으로 평가받는 문화, 야근 눈치 보는 문화, 부족한 워라밸 등.
화성	CL4	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
화성	CL2	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
화성	CL3	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
온양	CL3	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
화성	CL2	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
온양	CL3	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
